
0, 0.0279239, 0.02334595, -0.05501243, 5, 0, 0, 0, 0, 0
1, -0.1046745, 0.1733869, -0.1444215, 4.3475, 0.9, 10, 0, 10, 2
2, -0.1282258, 0.1418023, -0.07771585, 4.1025, 1.65, 16, 7, 23, 2.3
3, -0.03026134, 0.1235023, 0.1263307, 4.4925, 2.13, 27, 15, 42, 2.8
4, -0.06948828, 0.2009215, 0.2260523, 4.6325, 2.96, 33, 17, 50, 2.5
5, -0.08911689, 0.1718865, 0.2503169, 4.8225, 3.79, 37, 17, 54, 2.16
6, -0.139745, 0.1866787, 0.2535919, 4.2325, 4.46, 40, 22, 62, 2.066667
7, -0.1728711, 0.22188, 0.3045994, 4.025, 4.97, 47, 25, 72, 2.057143
8, -0.2325277, 0.3277985, 0.3107064, 4.315, 5.46, 49, 30, 79, 1.975
9, -0.2597989, 0.3756834, 0.3143468, 4.4725, 5.7, 61, 31, 92, 2.044445
10, -0.2182952, 0.3524514, 0.4232014, 4.6825, 6.22, 67, 31, 98, 1.96
11, -0.1469919, 0.3548535, 0.4949946, 3.9625, 6.94, 72, 31, 103, 1.872727
12, -0.1383255, 0.3414366, 0.5457867, 3.7725, 6.82, 82, 35, 117, 1.95
13, -0.1468852, 0.3270598, 0.6154986, 3.94, 7.02, 87, 38, 125, 1.923077
14, -0.1478996, 0.3129409, 0.6838109, 4.235, 6.89, 97, 39, 136, 1.942857
15, -0.1735796, 0.2953946, 0.6996626, 4.5825, 7.19, 108, 39, 147, 1.96
16, -0.1583641, 0.3073903, 0.7603075, 4.085, 7.35, 115, 41, 156, 1.95
17, -0.17968, 0.2775255, 0.7791579, 4.075, 7.92, 121, 41, 162, 1.905882
18, -0.1748712, 0.2864505, 0.8192657, 4.27, 8.75, 125, 41, 166, 1.844444
19, -0.1828568, 0.2728864, 0.8454444, 4.61, 8.49, 138, 41, 179, 1.88421
20, -0.1735168, 0.2798137, 0.8462017, 4.8625, 9.13, 141, 41, 182, 1.82
21, -0.1847721, 0.2529839, 0.8468663, 4.2025, 9.25, 149, 42, 191, 1.819048
22, -0.1434696, 0.2627697, 0.8214803, 3.9025, 8.72, 165, 42, 207, 1.881818
23, -0.1307277, 0.2790516, 0.9056844, 4.0775, 8.57, 174, 45, 219, 1.904348
24, -0.1463379, 0.2806128, 0.8938496, 4.1825, 9.1, 179, 45, 224, 1.866667
25, -0.1509563, 0.2929031, 0.8956165, 4.465, 9.39, 184, 46, 230, 1.84
26, -0.1261878, 0.265731, 0.9100908, 3.94, 9.88, 188, 49, 237, 1.823077
27, -0.1190741, 0.2446401, 0.9316828, 3.7725, 9.95, 193, 51, 244, 1.807407
28, -0.1100391, 0.2366289, 0.9488288, 3.9225, 9.68, 203, 52, 255, 1.821429
29, -0.1203635, 0.225143, 0.9436609, 4.15, 10.06, 213, 52, 265, 1.827586
30, -0.1184437, 0.2446752, 0.9737688, 4.44, 10.59, 221, 53, 274, 1.826667
31, -0.1297548, 0.2160134, 0.9413947, 3.86, 10.24, 233, 54, 287, 1.851613
32, -0.1111825, 0.2163511, 0.9587928, 3.7925, 10.45, 241, 56, 297, 1.85625
33, -0.1259238, 0.2206017, 0.9647671, 3.965, 10.83, 245, 57, 302, 1.830303
34, -0.12042, 0.2166431, 0.9670843, 4.18, 10.55, 252, 57, 309, 1.817647
